rule,matches
PORTSCAN_SHORT_FLOW,39469
FTP_BRUTE_FORCE,561
SSH_BRUTE_FORCE,442
BOT_8080,313
HTTP_FLOOD,25300
SLOW_HTTP_DOS,764
HEARTBLEED_LARGE_FLOW,0
INFILTRATION_444,0
